original,adversarial,original_label,final_label,success,queries
Wish there was another one close by. Their delivery employees are reckless drivers. It's hit or miss on the customer service you will receive when placing your order over the phone.,Failed to initialize,0,,False,976
"over rated, over priced and always crowded.",Failed to initialize,0,,False,829
"Jade Palace is a great little gem tucked away in a strip mall near Pinnacle Peak Rd. and Scottsdale Rd.\n\nI recently binged on a bunch of delicious dishes here as a pre-diet feast.  The place was packed with sliver-haired snow birds.  There was some cougar action at the bar which I always love to watch, but now that i think of it, it was more of a Hugh Hefner and his 24 year old bride-to-be action.  I was actually the only cougar there. :)\n\nI digress.  \n\n3 Delicacies is great.  Tender flank steak with tender scallops and tender shrimp.  Crab puffs were awesome and light and flaky but creamy and lovely in the middle.  Fried rice is excellent and they don't skimp on meat if you choose to order it with chicken.  And the chicken was tender.  Generous portions. Again, everything is lovely, yummy, fresh, tender, and most importantly, NOT TOO GREASY, which we all know is the signature of Chinese food. And my Absolut Press was poured in generous manner. :)\n\nIf you are looking for crappy food don't go here.  If you are looking to meet men, go here but expect them to all be over 65. If you are looking to meet younger men and have crappy food, go to Sapporo.",Failed to initialize,1,,False,947
"We have rented a property for two years under the managment of this company.  He has been responsive to all of our phone calls, emails and txt's.  We have had several issues in the two years on our rental property and he has responded to them all.  We have appreciated his managment of our lease and would recommend him to our friends.",Failed to initialize,1,,False,944
"Great friendly vibe. Its a chain but the food and service does not reflect that. Very fresh ingredients, creative choices and amazing service. Great everyday dining due to quality, prices and healthy options.","let down well-disposed vibe. information technology ampere chemical chain just the nutrient and service does not shine that. real fresh ingredients, originative option and awfully service. slap-up unremarkable dining due to quality, cost and level-headed options.",1,0,True,164
"Locals discount.\nAte shrimp, clams, mussels, crab legs, crawfish, prime rib & all sorts of fixings. Some items were not as warm as preferred. Good desserts. Didn't really care for being seated way on far edge in area with out of control kids just because we had a toddler too. She's not typical and quite well mannered.\nUpdated 11/10/14 up all night sick from something I ate. Not pleasant.",Failed to initialize,0,,False,895
"If I could, I guess I would go with 4 1/2 stars? \n\nI came to Vegas for my best friend and my birthday.  We wanted to go to a nice restaurant and ultimately selected RM Seafood.\n\nFirst, 3 out of 4 of us are Top Chef fans and were excited to meet Rick Moonen and chat with him.  He's a very nice man and we talked about the food.  He spent a lot of time on the floor...only thing about that that concerns me is that I know he's a celebrity chef and all, but I hope he had a hand in the food that night.\n\nTwo of us did the prix fixe and two of us didn't.  We ate:\n\nAppetizers:\n-California roll with real crab (mine)\n-Steak tartare with fries\n-Ahi Tuna two ways\n\nMy california roll was better than a typical california roll (with fake crab), but none the less it was a ...california roll. The steak tartare looked excellent and I was told that and the tuna both were.\n\nMain course:\n-Lemon-butter scallops and shrimp with capers\n-Halibut with basil sauce\n-Cioppino (mine)\n\nAll three were delicious!  The halibut was the best...love the clean flavors...the green.  Scallops were seared to perfection.  The cioppino was the weakest of a very strong pool.\n\nDessert:\n-16 flavor ice cream challenge\n-Key lime pie\n\nWe were so full by the time we got to dessert, but hey, how many more times am I going to come?  We had to do the ice cream challenge! We got about 10 correct.  According to the waiter, the average correct is 8.  This was more about the experience as some of the ice cream flavors were truly disgusting.  haha.  We had a great time though.\n\nThe waiter also brought out a little candle with the ice cream for our birthdays! (They didn't sing, which I wouldn't expect or want in a joint like this so it was just right. :) )\n\nI'm not usually a key lime pie fan, but this one was probably the best key lime pie I've ever had.  \n\nThe bill wasn't as unreasonable as some of the other restaurants in Vegas (we also didn't drink though).\n\nAll in all, it was a great experience and perfect low-key moment to a crazed Vegas trip.  I would recommend this restaurant to a seafood loving fan looking for a good, not-outrageously priced but still nice meal for their Las Vegas trip.",Failed to initialize,1,,False,916
"I hate to give this bar and grill such a low rating, but the past few times I have been there, the service has been awful. My (now ex) girlfriend and I stood for 15 minutes waiting for the waitress to come and seat us. This would not have been such a problem had it not been 10 PM and there were only 2 tables with people at them. As far as food goes, it's not bad. Basic bar food, minus the pepper jack burger which is amazing. I will probably not be coming back to this location.",Failed to initialize,0,,False,959
"I came here with my boyfriend's family (who are Mauritian) on a Sunday night for his mom's birthday dinner. The decor is decent, nothing too outstanding.\n\nAlthough the place was only 1/3 full, it took the waiters awhile to acknowledge us. Five minutes of waiting around later, we were finally seated, without menus. I had to go over to another table where they were all set on and picked up some. A waiter finally came over to bring us water and although we asked for utensils, as only chopsticks are offered on the tables, he walked away with them in hand instead of giving them to us. He finally came back to bring them to us, and took our order. \n\nWe ordered the seafood soup, crab balls (YUM), beef & Chinese broccoli, crispy chicken, chow fun with black bean sauce, chicken chow mein, shrimp fried rice, Cantonese-style lobster and just regular steamed rice. We had asked to have the crispy chicken and steamed rice served simultaneously, but the waiter got all in a huff and said he can only bring things out as they are ready from the kitchen. \n\nOur food started to trickle out slowly but surely, and here is what I thought;\n- The crab balls, although were pretty tasty, were a lot smaller than say at Kam Fung (for 3$ a piece you'd think they'd offer a little more sustenance).\n- The beef & Chinese broccoli was pretty good, although the meat could've been less tendon-y. Good flavouring though.\n- The crispy chicken was a let-down; it was pretty dry, and didn't taste too fresh.\n- The chow fun with black bean sauce was pretty delicious; it was my first time having it and I enjoyed it.\n- I have nothing but good things to say about the chicken chow mein; it had a good mix of crispy noodles and fully cooked ones. And the veggies weren't soggy as they sometimes end up being. \n- The shrimp fried rice was pretty good, mind you they were pretty cheap with the shrimp; they sprinkled maybe 10 mini shrimp throughout the whole dish.\n\nI don't eat lobster, and didn't have any seafood soup, so I can't critique those.\n\nI was really hoping to get the lentil soup for dessert (soooo good), but, and I know this is stereotypical, I have a feeling because I was at the table (I'm Caucasian, and my boyfriend's family, as I mentioned is Chinese-Mauritian) the waiter brought orange slices and fortune cookies. \n\nSo all in all, it was ok, but I will stick with my tried and true Kam Fung.",N/A,1,2,Skipped,0
"Asian buffets scare me... I usually don't know what half the stuff is, and if I do know what it is, it's a microwaved crazy sauced version of what I'm used to. Granted, I came here with a hungry hoard of UCSD dragon boaters, so we were all starved from a long day of paddling. Yes, I ate, but I was terrified that everyone would be sitting on a toilet for the rest of the night and that we would be totally unable to paddle our races the next day.\n\nMicrowavable edamame was my friend since I saw the costco sized bags sitting on the side (I figured I'd be safe with these), and I attempted to try everything else like the random seafoods, mushy sushi, and fatty meats. Their desserts were weird generic cakes that seemed to be salvaged from the sale section of the local grocery bakery, so I stuck with the frozen yogurt.\n\nLots of better options out there, but I guess since there were about 50 of us, we were limited.",Failed to initialize,0,,False,954
"I had the distinct pleasure of making the acquaintance of the King of our fair city earlier this week. At his behest, we met up at The Skeptical Chymist.\n\nAt first glance, I was nervous that the venue would be incredibly small. It's tucked away in the corner of a shopping center, between a sandwich shop and a Rubio's. The storefront is immensely wide, but for some reason, it didn't appear that it would be very spacious inside.\n\nTo say that I was wrong would be putting it lightly. When I walked up to the \""""Please Seat Yourself\"""" sign where a hostess might stand during peak hours, I was immediately lost. There was a vast section in the center of the bar that was teeming with people there to enjoy the amazing happy hour specials (from 4:00 pm - 7:00 pm). I had to actually walk around to the right side of this group (through a small seated dining section) to reach the bar.\n\nI only had a moment to gaze at the bar while waiting for Scott D. to arrive. In that time, I noticed several different beers with which I am, sadly, not yet familiar. Though, after the night I enjoyed, I'm sure we will not be strangers for very long.\n\nWhen Scott D. arrived, we ordered a nice stout beer (I'm ashamed to say that I was too nervous to pay attention to the name of the ale). Scott said that it's a good idea to \""""start from the left, and work your way to the right\"""" of the beers on tap. On this night, we never made it past the first tap.\n\nWe picked up our ales, and headed to the outdoor patio (another pleasant surprise).  The patio was surrounded by misters, which I'm sure, offer great relief during the blistering summer months. There was a television in the corner of the patio that was airing the Thursday night NFL game. There was a walk up bar that connected to the bar in the main room. \n\nAt first, it appeared that we got lost in the mix, as it took a while before a waiter came around to see how we were doing. But, once they realized their mistake, they were exceptionally quick to rectify the situation. Our server, whose name escapes me, was incredibly courteous and apologetic for the delay. He asked if we were interested in appetizers...which, after the strong ale, we absolutely were!\n\nScott recommended the \""""Pulled Pork Sliders\"""". Perhaps it was the beer, perhaps it was the situation. But the sliders were great! They come four to a plate (perfect for sharing). And since it was happy hour, we got them at half price ($5.00).\n\nAs the night progressed, there was another round of the same beer. That, subsequently, led to another appetizer. For this round, Scott suggested the Chicken Tenders. Being happy hour, we only paid $4.50 for this dish. Just like before, this dish comes with four chicken tenders, making for another easy mathematical conclusion as to which way the dish should be split. I know they were chicken, but the manner in which these tenders are fried, they reminded me more of fried fish. Whatever the case may be, they were scrumptious.\n\nCue the third round of beers, again from the same tap. (Now I HAVE to return, just so I can figure out what this beer is called!) \n\nWe sat, we drank, we ate, and we were merry. We ended up chatting for more than three hours over drinks and bar fare. So, if you were paying attention, you know that we each had three stout ales and two delicious appetizers during our little pow wow. \n\nBy the time the tab came, I had completely forgotten that we had been drinking and dining on Happy Hour prices. The damage was an astounding $40.00...including a generous tip! \n\nAs we exited the bar (three plus hours later), it dawned on me that there was a stage upon which live music acts performed! This place is WAY bigger than I had originally though!  \n\nAnd did I mention the \""""Library\""""? I fear I may have said too much already...perhaps when I return, I'll venture into the rest of the nooks and crannies of this local gem!\n\nThat wraps it up for my 50th review. I know, to some, 50 reviews isn't an impressive milestone. But, to me, this one was special. And, after all, everybody has to start somewhere!\n\nI hope you enjoy both the review and the venue!","I had the distinct pleasure of making the acquaintance of the King of our fair city earlier this week. At his behest, we met up at The Skeptical Chymist.\n\nAt first glance, I was nervous that the venue would be implausibly small. It's tucked away in the corner of a shopping center, between a sandwich shop and a Rubio's. The storefront is immensely wide, but for some reason, it didn't appear that it would be very spacious inside.\n\nTo say that I was wrong would be putting it lightly. When I walked up to the \""""Please Seat Yourself\"""" sign where a hostess might stand during peak hours, I was immediately lost. There was a vast section in the center of the bar that was teeming with people there to enjoy the amazing happy meter of daylight special (from 4:00 chancellor - 7:00 pm). 1 maintain to really walk of life more or less to the pay agency of this numerical group (through adenylic acid decrease put dine section) to contact the bar.\n\nI altogether cause antiophthalmic factor import to stare at the bar spell waitress for Scott D. to arrive. inch that time, iodine find several different beer with which 1 am, sadly, non even familiar. Though, afterwards the Night matchless and alone enjoyed, I'm certain enough we testament not subsist alien for palpable long.\n\nWhen Scott D. arrived, we ordinate A prim stalwart beer (I'm ashamed to guess that matchless bandstand for ampere substantially skittish to pay advertizing to the tell of the ale). Walter Sir Walter Scott hypothesize that it's deoxyadenosine monophosphate dearly-won estimate to \""""start from the left, and overwork your representation to the right\"""" of the beer along tap. On this night, we never crap it retiring the pop tap.\n\nWe break up improve our ales, and point to the outside terrace (another pleasant surprise). The terrace be articled extinct misters, which I'm sure, suggest non sorry relief during the acid summer months. atomic add up forty-nine that value monetary value deoxyadenosine monophosphate idiot packet nuclear numeration 49 the sprain full channelize of the judiciary that price send off the Th Night NFL game. at that blank shell quad defecate upwards type A societal whole walkway upward time value that tie-up to the shut out column inch the top dog room. \n\nAt first, entropy applied science look that we nooky cancelled at sea inward the mix, ampere information engine room skill assurance angstrom unit alternate result amp legion croak Army for the Liberation of Rwanda Beaver State thus to necessitate how we follow doing. But, atomic number 85 unmatched prison term they attain their mistake, they damage exceptionally agile to amend the situation. Our server, whose raise stage set kayoed veto me, consistency away fantastically nice and excusatory for the delay. helium augur for if we beryllium national to Henry Martyn Robert IN appetizers...which, tail end on the unspoken ale, we utterly were!\n\nScott root on the \""""Pulled porc barrelful accelerator pedal gun barrel Sliders\"""". possibly selective information practice scientific discipline stagecoach the beer, mayhap selective info orchestrate embody the situation. near the slider make upward great! They originative liquid Little Joe to vitamin amp photographic home base home (perfect for sharing). And since information engine room scientific discipline corporal felicitous hour, we bombinate call off them atomic enumerate lxxxv one-half Leontyne Leontyne damage ($5.00).\n\nAs the disconsolate progressed, column inch that sterilise match exactly nearly early on assail slay of the Sami beer. That, subsequently, dog to close up to early appetizer. For this round, H Martyn Henry M. Robert Falcon Henry Martyn Robert George C. Scott evoke the chickenhearted Tenders. universe well-chosen hour, we but take a shit upwards $4.50 for this dish. upright ilk before, this cup of tea semen with quadruplet lily-livered tenders, fade A centime for more or less early well-heeled numerical final exam solution axerophthol to which way the bag extinct up should atomic matter quaternary split. iodine commence information technology along they body forth chicken, scarce the fashion Indiana which these propose exist fried, they discriminative stimulus long Sir Victor Herbert Sir Henry Maxmilian Beerbohm corner atomic number 75 publica St. Lowell Jackson Thomas to adenine not bad extent of Roger Fry fish. any the subject incline hawthorn be, they organic structure scrumptious.\n\nCue the 3rd violate of beers, 1 clock erstwhile more than from the Sami tap. (Now I cede to return, but straight off quick thence unrivalled stool forcible consistency pick apart proscribe what this beer partake called!) \n\nWe sat, we drank, we ate, and we atomic number 4 merry. We send away ameliorate call down for Bob Dylan Seth Thomas Sir St. Thomas Thomas More than III time of day ending fox and efficacious residential dominion fare. So, if you terms net profit attention, you sleep with that we from for from each one unitary unrivalled have atomic number 49 triple portly ale and II toothsome appetiser during our forgetful confined of war wow. \n\nBy the sentence the lozenge came, nuclear come fifty-three nativity entirely englut that we first-come-first-serve curb salute and boom on happy lx proceedings prices. The faulty defend assort inwards entertain nonplus $40.00...including A generous tip! \n\nAs we give-up the obsess the demote (three gain threescore bit later), entropy engineering science fuck off through and through on Pine Tree State that astatine that site dwell angstrom unit social unit give upon which bear taboo music playact performed! This place act board full arise than unity affirm earlier though! \n\nAnd coiffure atomic number 53 citation the \""""Library\""""? single awe single Crataegus laevigata take state overly very much already...perhaps when ane return, I'll jeopardize into the repose of the nook and chap of this topical anesthetic gem!\n\nThat wrapper information technology improving for my fiftieth review. 1 know, to some, fifty followup isn't Associate in Nursing telling milestone. But, to me, this unrivalled follow special. And, later all, everybody give birth to get-go somewhere!\n\nI desire you savor both the reappraisal and the venue!",1,0,True,5127
I purchased a Groupon to us this vendor. \nThey are rude and they left my home in a mess. They came in with dirty shoes and no coverings for them and left dirt in my home. The guy is rude and when I did not want to upgrade he got even ruder. \nHopefully by adding this review they will learn cheap service on an offer such as this will never gain them repeat business.,Failed to initialize,0,,False,962
"Great pizza...but as another reviewer mentioned -- they are a bit feisty. Be forewarned that the slices are humungous, so one might do it if you have a small appetite, like moi.","not big pizza...but A altogether another reviewer advert -- they cost antiophthalmic component minute feisty. cost foresee that the piece price humungous, consequently unrivalled power dish up selective selective information practice scientific discipline if you birth angstrom derogate appetite, ilk moi.",1,0,True,370
"I have been ordering from Winder for over a year now.  Both my wife and I work full time and have two young daughters;  yes we pay a premium (fees, higher prices, etc.)but not having to shop for staples every week really helps us manage the household.  I could use grocery delivery from Vons or another store, but I believe I am buying really good quality food.\n\nThe produce is okay, it is hit or miss.  I can keep the fruit basket full with Gala Apples and Pears every week for the kids.  The meat is overpriced (I pay less at a butcher I go to once a month) but I really enjoy the milk and appreciate that it does not have hormones. We started with Winder specifically to prevent our daughters from drinking too much milk with hormones.  The dairy and bakery products and lunch meats are a reasonable deal and we have found the quality to be quite good.\n\nFor customer service, I found calling works the best.\n\nThe most frustrating thing is that in the year I have used Winder I believe they have changed the website a few times and actually have made it worse.  The website is too slow.  For a business that relies on the internet for customer orders, they need to invest in a consultant to fix the website and make it faster or use less graphics.  I am running a new machine and this website is one of the worst I use.",N/A,2,1,Skipped,0
Dark...kind of creepy\n\nI am not sure what thy want to be...a bar? restaurant? creep museum? \n\nThe food was very bland....sounds so good when you read it. Not so much when it is in your mouth. \n\nSo many other choices downtown.,Failed to initialize,0,,False,820
